,product,gender,length,review,star
0,[グンゼ] インナーシャツ YG 綿100% クルーネック長袖 YV0011N メンズ,男性,長袖,"
本当にグンゼかな？２Lなのに窮屈だし、着て寝ると腕がチクチク（特に縫い目）してすごく不快。２つまとめての注文しかなかったので損した感じ。洗濯を何度かしてチクチクが治まったら評価上げる予定。生地が薄いのは夏用なので良かった。
",0
1,【Fitte】ブラタンクトップ（レディース）,女性,半袖,"
30代158センチ50キロ 中肉中背　７０Ｄ〇ニ〇ロ、〇印〇品、〇コールと様々なブラトップを使いましたが、こちらのMはゆるゆるガバガバでパッドの意味もないぐらいです(部屋着にもする気にもならず捨てました) お値段の安いFitte（完全無縫製）】タンクトップ（パッド付）の方がいくらかフィットします　綿100ではありませんが敏感肌の私でも問題なく着用できました
",0
2,[グンゼ] インナー Tuche トゥシェ INTIMATE 着るコスメ 綿100% フレンチ袖 TC4052 レディース,女性,半袖,"
肌触りが良い。長さは長すぎず、短すぎず。ジーンズに入れれます。首の空きはVネックが深いと少し出ます。まだ夏に着てませんが、綿100なので秋にも重宝してます。色々迷いましたが、買って良かったです。
",1
3,【Ｔシャツ専用】袖なし・汗取り付スリーブレス（メンズ）【まとめ買い割対象】,男性,半袖,"
お試し感覚で購入しました。実際に着てみるとフィット感が心地よく手放せない感じになってしまいました。今後、重宝しそうです。
",1
4,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% Tシャツ 2枚組 HK10132 メンズ,男性,半袖,"
普段から黒のTシャツを使用してます。今まで色々試してみましたがこの商品に落ち着きました。首回りの処理がしっかりしており、ほとんど伸びません。胴体部分はシームレスでサイドに縫い目が無く、着心地が良いです。
",1
5,【Ｔシャツ専用】汗取り部３層構造スリーブレス（メンズ）【まとめ買い割対象】,男性,半袖,"
仕事用に購入しました。ワイシャツの下に着ていますが外にひびかないし、汗もしっかり吸収してくれるのでサラッと快適に過ごせます。
",1
6,[グンゼ] インナーシャツ やわらか肌着 綿100% 抗菌防臭加工 半袖丸首 2枚組 SV61142 メンズ,男性,半袖,"
問題なく、着ています。着心地も悪くありません。いい買い物ができました。
",1
7,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% Tシャツ 2枚組 HK10132 メンズ,男性,半袖,"
質感が良い
",1
8,[グンゼ] インナー Tuche トゥシェ INTIMATE 着るコスメ 綿100% 8分袖 TC4046 レディース,女性,長袖,"
いわゆるヒートテックで肌荒れを起こし調べてみると化学繊維が良くないということで、こちらを購入。綿100%で汗をかいてもスッキリだし、肌荒れも治ったので化学繊維がダメな方におすすめです。
",1
9,[グンゼ] インナーシャツ ホットマジック 柔らか温か Vネック9分袖 MH1909 メンズ,男性,長袖,"
スーツスタイルで白いTシャツだとワイシャツから透けてしまうのが嫌で… 透けない肌着を探していたところ、この商品に出会い約半年ぐらい愛用してますが、まずワイシャツから透けない！　肌触りが最高！　着心地フィット感が素晴らしい！寒い時期は9分袖着てますが、袖からはみ出る事もないし、良く考えられた商品だと思います。初めは抵抗が多少ありましたが、今では中にこれを着ないとダメな身体にになってしまいました（笑）
",1
10,[グンゼ] インナー Tuche トゥシェ INTIMATE 着るコスメ 綿100% 8分袖 TC4046 レディース,女性,長袖,"
腕のカサカサが気になりいいインナーはないかと探してこちらの商品にたどり着きました。商品をあけてビックリ。繊維？の白いカスカスだらけ。新品を購入してこんなに白いものがいっぱい付いてるなんて初めてでした。一度洗濯して着てみましたが丈が短い。背中が出る程ではないけど冬のインナーとしてはもう少し長さがほしい。そして袖は想定内の長さがですが日常生活の動作で肘まで上がってきます。とっても残念でした。
",0
11,[グンゼ] インナーシャツ やわらか肌着 綿100% 抗菌防臭加工 半袖丸首 2枚組 SV61142 メンズ,男性,半袖,"
30年以上グンゼ丸首を愛用中。その間少しだけ、他のメーカーを使用しましたが、直ぐに首のあたりがヨレットしました。流石にグンゼは耐久性抜群。捨てる時期が分かりません。汗で変色が激しくなったら、ようやく捨てます。愛用続けます。
",1
12,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% サーフシャツ 2枚組 HK10182 メンズ,男性,半袖,"
このサーフシャツが肌触りが良くて楽に着れて良いです。
",1
13,【接触冷感】ＶネックＴシャツ（メンズ）【SALE】,男性,半袖,"
肌触り　着心地　とてもよいようです。満足していました。
",1
14,[グンゼ] インナー Tuche トゥシェ INTIMATE 着るコスメ 綿100% 8分袖 TC4046 レディース,女性,長袖,"
皮膚科の先生に綿100％の下着をとの事で探していました。私には丈も何もかもぴったりでした。164cm普通体型で、購入したのはLサイズです。追加注文したいと思います。
",1
15,[グンゼ] インナーシャツ やわらか肌着 綿100% 抗菌防臭加工 半袖丸首 2枚組 SV61142 メンズ,男性,半袖,"
肌寒くなり、しっかりした生地なので良いです。型崩れなく、洗濯にも強いです。
",1
16,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% Tシャツ 2枚組 HK10132 メンズ,男性,半袖,"
以前店頭で購入していましたが、最近見かけなくなってしまいました。作業服の下着として使用していますが、数枚パックの白無地Tシャツの中では一番もしっかりしていると思います。
",1
17,[グンゼ] インナーシャツ YG 綿100% クルーネック長袖 YV0011N メンズ,男性,長袖,"
冷汗は感じられないことに違和感があります。
",0
18,[グンゼ] スリーブレスシャツ YG Tシャツ専用 in.T(インティー) CUT OFFシリーズ 汗パット強化版3層構造 メンズ,男性,半袖,"
それはただのゴミであり、コメントする価値はありません
",0
19,[グンゼ] インナーシャツ ホットマジック 柔らか温か Vネック9分袖 MH1909 メンズ,男性,長袖,"
中年男性の体形にあわせられるようにお腹周りをゆとりをもって作られていますやせ型の人でも、生地がある程度フィットし、すこし丈が長く感じる程度なので大丈夫。（やせ型でぴったりなフィット感がほしい方はワンサイズ落とした方がいいです）本当にやわらかく伸縮性があり”とってものび～る”絶妙にお肌との緩やかなフィット感があって、楽な着心地(*'▽｀*)「サラサラフワフワきもちいい」汗をかいてもべたっと嫌な感じがせず、上手に吸い取り蒸発させてくれる感じがします。薄くてふんわりで、着る時にすこしもヒヤッとしません。これ一枚で温かいということはありませんが、不快感なく温かさを逃しにくいという機能性をしっかり感じます。あいかわらず縫製も芸術的にていねいで綺麗、非の打ち所がなく”紳士肌着の最先端”してます。やっぱりグンゼってすごい。
",1
20,[グンゼ] インナー Tuche トゥシェ INTIMATE 着るコスメ 綿100% 8分袖 TC4046 レディース,女性,長袖,"
今までヒート〇〇〇を着ていましたが、生地に体臭が移りやすく気になっていました。このトゥシェは全く移らない。さすが綿100%。大満足です。
",1
21,【凄く暖か】ハイネックシャツ（メンズ）,男性,長袖,"
温かはあるのですが、袖が短かった。
",0
22,[グンゼ] インナー Tuche トゥシェ INTIMATE 着るコスメ 綿100% 8分袖 TC4046 レディース,女性,長袖,"
あまり伸びる生地ではないので、ワンサイズ大きめが着やすいと思います。価格が割とよく変動するので、買い時に悩むところ…
",1
23,【STANDARD】ＶネックＴシャツ(Ｖ首)(メンズ),男性,半袖,"
シンプルで機能的。タグのないところがいい。
",1
24,[グンゼ] インナーシャツ G.T.HAWKINS 綿100% サーフシャツ 2枚組 HK10182 メンズ,男性,半袖,"
物はいい感じ！ でも、好きな黒にしたら、臭い！！ made in china？ 着る前に、煮出して、シャンプーして、洗濯しないと～！！ということで、星三つです。
",0
25,[グンゼ] インナー Tuche トゥシェ INTIMATE 着るコスメ 綿100% 8分袖 TC4046 レディース,女性,長袖,"
肌に優しく汗をかいても生地がすってくれるし、すぐ乾きます。ただ、首元が開きすぎるのが気になりました。１枚での着用は出来ません。
",0
26,【SEAMLESS】タンクトップ（パッド付）（レディース）,女性,半袖,"
締め付け感もなく着心地が良いのですが、パットが少し小さすぎる気がします。
",0
27,[グンゼ] インナー Tuche トゥシェ INTIMATE 着るコスメ 綿100% 8分袖 TC4046 レディース,女性,長袖,"
とりわけ暖かさは感じない
",0
28,【寒さ知らず】8分袖インナー（レディース）,女性,長袖,"
SサイズがなかったのでMを購入しました。伸縮性があるとのことでしたが、少しぷかぷかします。そのせいかあまり暖かくありません。少し期待はずれです。
",0
29,[グンゼ] インナーシャツ やわらか肌着 綿100% 抗菌防臭加工 半袖丸首 2枚組 SV61142 メンズ,男性,半袖,"
着た感じは、凄くぴったりと密着して動き易いです。洗濯をしても、サイズは変わらず品質は良いと思います。また購入する予定です。
",1
30,[グンゼ] インナーシャツ 快適工房 V型7分袖スリーマー 綿100% 日本製 KH5046 レディース,女性,長袖,"
下着、下着した感じがダメでした。すみませんまたさがします。ごめんなさい
",0
31,【Ｔシャツ専用】袖なし・汗取り付スリーブレス（メンズ）【まとめ買い割対象】,男性,半袖,"
胸部を含め全体的にピチピチで圧迫感がある。同時に購入した『【airMADE COTTON】Ｖネックスリーブレスシャツ 31YV9618』は同じLサイズ表記で「チェスト96～104」と全く同じ表記だが、ブカブカでむしろやや大きすぎる。多少の違いならわかるがここまでの差があるとは…。以前購入した別のグンゼのインナーはLでちょうどよかったので油断した。一度開封したら返品不可で、しかもまとめ買いした場合は未開封品が残っていてもそれらも返品不可ということで落胆…返品規約の確認不足だった。安そうに見えても、初めて買うシリーズの場合はまとめずに単品で買うべきですね…。
",0
32,[グンゼ] インナーシャツ キレイラボ 完全無縫製 なめらかにフィット 綿混 8分袖 KL1846R レディース,女性,長袖,"
無縫製ってどんな感じなんだろう？ヌーブラみたいな感じなのかな？と実物を見るまではいまいちイメージができませんでした。縫ってないけど袖がついてる〜！！！とあけてびっくりぽんでした。接着されているようなのですが、こちらはほつれてこないのかな？と心配です。今の所は（２ヶ月使用）特に問題もないのでしばらく様子を見てみようと思います。色味は落ち着いたピンクベージュで、遠目に見ると裸のようです。ですが、部屋着にしようと思っていましたので全然問題なく、イメージ通りの優しい色でとても気に入りました。新色出たらいいなあと思います。
",1
33,[グンゼ] インナー Tuche トゥシェ INTIMATE 着るコスメ 綿100% 8分袖 TC4046 レディース,女性,長袖,"
まあまあ値段はしますが、着心地は悪くないですし何度も洗濯していますが丈夫で使いやすいです。また首回りも広いので、この上にカットソーとか着ても見えることもなく、安心して着用できます。綿100パーセントのインナー、探してみても意外に少ないので、大手のメーカー商品を見つけられてよかったです。
",1
34,[グンゼ] インナーシャツ やわらか肌着 綿100% 抗菌防臭加工 半袖丸首 2枚組 SV61142 メンズ,男性,半袖,"
ワンサイズ上の商品を買ってもいいかもしれません。洗うとどうしても縮んでしまいますね。
",0
35,【Fitte】ブラタンクトップ（レディース）,女性,半袖,"
2回目の購入です。前回はMサイズでしたが、締め付けが苦手なのでLサイズにしました。アンダー締め付けは皆無なのに、ホールド感と胸のラインがきれいに出るので手放せません。本来体型はＭサイズなので長時間はＬサイズを着用し、半日程度の着用の時はジャストサイズのＭサイズを着用するなど、体調やシチュエーションで着分けています。
",1
36,[グンゼ] インナー Tuche トゥシェ INTIMATE 着るコスメ 綿100% 8分袖 TC4046 レディース,女性,長袖,"
生地も柔らかで気持ちいいし、袖もちょうど良かった。
",1
